Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_S,-6.3549E-07,2.1606E-10,-0.044173,0,0,0,2.1058,0.0026394,-4.5784E-10,-1.6276E-10,0.0033952,2.777E-12,0.0032376,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/BASE_S.STL,1,1,1,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/BASE_S.STL,,装配体4^T170-V2.1-A0-1/CRA-RI70-80-PRO(D18)-XX-5;装配体4^T170-V2.1-A0-1/CRA-RI100-120-PRO-XX-2E-A2-不带驱动器-带固定-2;装配体4^T170-V2.1-A0-1/CRA-RI100-120-PRO-XX-2E-A2-不带驱动器-带固定-1;装配体4^T170-V2.1-A0-1/板子-1/V2.0下-2;装配体4^T170-V2.1-A0-1/T170-髋部基板-V2.1-A0-1,zy1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_HIP_P_S,0.0071718,0.039555,1.9233E-06,0,0,0,0.94923,0.0016986,-1.8967E-05,-5.1273E-09,0.0017107,-8.6625E-09,0.0012374,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_P_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_P_S.STL,,装配体4^T170-V2.1-A0-1/T170-髋部输出盘-V2-A0-1;装配体4^T170-V2.1-A0-1/CRA-RI70-80-PRO(D18)-XX-2;装配体4^T170-V2.1-A0-1/髋部第一关节输出盘-2,zl1,l1,L_HIP_P,revolute,0,0.0945,-0.067,0,0,0,BASE_S,0,1,0,267,5.76,-3.14,3.14,,,,,,,,
L_HIP_R_S,-0.048008,0.0020202,-0.11714,0,0,0,1.1695,0.0037557,4.6697E-06,-0.00018062,0.0031397,-1.8888E-05,0.001434,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_R_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_R_S.STL,,装配体4^T170-V2.1-A0-1/T170-大腿-V2.1-A0-上部副盖-1;装配体4^T170-V2.1-A0-1/T170-大腿-V2.1-A0-上部主体盖-1;装配体4^T170-V2.1-A0-1/CRA-RI80-97-PRO-2-xxx-2E-EC-B0-1;装配体4^T170-V2.1-A0-1/T170-大腿-V2.1-A0-上部主体-1,zl2,l2,L_HIP_R,revolute,0.058,0.044,0,0,0,0,L_HIP_P_S,-1,0,0,63,8.06,0,0,,,,,,,,
L_HIP_Y_S,0.0035541,0.008967,-0.17283,0,0,0,1.5865,0.0080641,-1.8276E-05,1.6681E-05,0.0093033,0.0002413,0.0028794,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_Y_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_HIP_Y_S.STL,,装配体4^T170-V2.1-A0-1/T170-大腿-V2.1-A0-下部副盖-1;装配体4^T170-V2.1-A0-1/CRA-RI100-120-PRO-XX-2E-A1-1;装配体4^T170-V2.1-A0-1/T170-大腿-V2.1-A0-下部主体-1,zl3,l3,L_HIP_Y,revolute,-0.058,0,-0.1972,0,0,0,L_HIP_R_S,0,0,1,121,6.81,-3.14,3.14,,,,,,,,
L_KNEE_P_S,-0.001168,-0.058283,-0.12432,0,0,0,2.3872,0.027069,-5.5209E-06,-0.0019786,0.029028,0.00057031,0.0032412,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_KNEE_P_S.STL,1,1,1,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_KNEE_P_S.STL,,装配体4^T170-V2.1-A0-1/T170-小腿-V2.1-A0-副壳-1;装配体4^T170-V2.1-A0-1/高通人形机器人-2.0-小腿-7080电机安装壳-1;装配体4^T170-V2.1-A0-1/CRA-RI70-80-PRO(D18)-XX-8;装配体4^T170-V2.1-A0-1/T170A-322-高通-A0-1;装配体4^T170-V2.1-A0-1/T170-小腿-V2.1-A0-1,zl4,l4,L_KNEE_P,revolute,0,0.0570000000000002,-0.222800000000354,0,0,0,L_HIP_Y_S,0,1,0,267,5.76,-0.83,2.3,,,,,,,,
L_ANKLE_P_S,-0.0064508,-0.006279,0.0016847,0,0,0,0.1677,4.4898E-05,-1.8172E-07,2.9682E-06,5.519E-05,4.9311E-08,6.749E-05,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_ANKLE_P_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_ANKLE_P_S.STL,,装配体4^T170-V2.1-A0-1/高通人形机器人-2.0-脚踝旋转轴轴套-1;装配体4^T170-V2.1-A0-1/高通人形机器人-2.0-脚踝旋转连接件-1;装配体4^T170-V2.1-A0-1/脚踝旋转连接轴-1;装配体4^T170-V2.1-A0-1/高通人形机器人-2.0-小腿脚踝拉杆轴-1;装配体4^T170-V2.1-A0-1/6807ZZ-1,zl5,l5,L_ANKLE_P,revolute,-0.0322476248166303,-0.058,-0.368592038293948,0,0,0,L_KNEE_P_S,0,-1,0,63,8.06,-1.57,0.314,,,,,,,,
L_ANKLE_R_S,0.017473,1.3774E-06,-0.074805,0,0,0,2.3055,0.0018479,6.3775E-08,8.8894E-06,0.011147,-4.6013E-09,0.012553,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_ANKLE_R_S.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/L_ANKLE_R_S.STL,,装配体4^T170-V2.1-A0-1/CRA-RI50-60-PRO-XX-2E-EC-2;装配体4^T170-V2.1-A0-1/高通人形机器人-2.0-小腿脚踝电机轴承座-1;装配体4^T170-V2.1-A0-1/T170A-332-A1-1;装配体4^T170-V2.1-A0-1/8字形脚底板-1;装配体4^T170-V2.1-A0-1/8字形硅胶垫（2.5螺纹孔版本）-1,zl6,l6,L_ANKLE_R,revolute,0.023,0,0,0,0,0,L_ANKLE_P_S,1,0,0,23,10.16,-0.34,0.34,,,,,,,,
R_HIP_P_S,0.012246,-0.041162,1.2331E-06,0,0,0,1.4868,0.0021342,1.8966E-05,1.8579E-07,0.002119,8.7366E-09,0.0016457,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_P_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_P_S.STL,,装配体4^T170-V2.1-A0-1/T170-髋部输出盘-V2-A0-2;装配体4^T170-V2.1-A0-1/镜向CRA-RI70-80-PRO(D18)-XX1-11;装配体4^T170-V2.1-A0-1/镜向髋部第一关节输出盘-3,zr1,l1,R_HIP_P,revolute,0,-0.0945,-0.067,0,0,0,BASE_S,0,1,0,267,5.76,-3.14,3.14,,,,,,,,
R_HIP_R_S,-0.048031,-0.0020284,-0.11714,0,0,0,1.1691,0.0037556,-4.6401E-06,-0.00018061,0.0031396,1.8881E-05,0.0014339,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_R_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_R_S.STL,,装配体4^T170-V2.1-A0-1/镜向T170-大腿-V2.1-A0-上部主体-2;装配体4^T170-V2.1-A0-1/镜向CRA-RI80-97-PRO-2-xxx-2E-EC-B0-2;装配体4^T170-V2.1-A0-1/镜向T170-大腿-V2.1-A0-上部副盖-2;装配体4^T170-V2.1-A0-1/镜向T170-大腿-V2.1-A0-上部主体盖-2,zr2,r2,R_HIP_R,revolute,0.0579999999999983,-0.0439999999999996,0,0,0,0,R_HIP_P_S,-1,0,0,63,8.06,0,0,,,,,,,,
R_HIP_Y_S,0.001877,-0.0073552,-0.1964,0,0,0,3.0056,0.010338,1.8035E-05,1.6425E-05,0.011638,-0.00024128,0.005152,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_Y_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170-V2.1-A0-mass/meshes/R_HIP_Y_S.STL,,装配体4^T170-V2.1-A0-1/镜向T170-大腿-V2.1-A0-下部副盖-2;装配体4^T170-V2.1-A0-1/镜向CRA-RI100-120-PRO-XX-2E-A1-2;装配体4^T170-V2.1-A0-1/镜向T170-大腿-V2.1-A0-下部主体-2,zr3,r3,R_HIP_Y,revolute,-0.0579999999999892,0,-0.197199999999645,0,0,0,R_HIP_R_S,0,0,1,121,6.81,-3.14,3.14,,,,,,,,
